antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Hilltop 200 MG Acetominifen', 'Cormorant Scented Toilet Tissue'})",frozenset({'Horatio No Salt Popcorn'}),0.00015851628754854561,0.003328842038519458,0.00015851628754854561,1.0,300.4047619047619,0.00015798861186676398,inf,0.9968291716210861
"frozenset({'Imagine Low Fat French Fries', 'CDR Hot Chocolate'})",frozenset({'Quick Extra Lean Hamburger'}),0.00018493566880663654,0.0031174869884547304,0.00018493566880663654,1.0,320.771186440678,0.00018435913426543068,inf,0.997066906246697
"frozenset({'High Top Summer Squash', 'Even Better Sharp Cheddar Cheese'})",frozenset({'High Top New Potatos'}),0.00015851628754854561,0.003725132757390822,0.00015851628754854561,1.0,268.4468085106383,0.00015792579333321854,inf,0.9964328180737217
"frozenset({'High Quality Scissors', 'Plato French Roast Coffee'})",frozenset({'Dollar Monthly Sports Magazine'}),0.00015851628754854561,0.0031967451322290033,0.00015851628754854561,1.0,312.8181818181818,0.0001580095513779458,inf,0.9969612894702076
"frozenset({'Hilltop 200 MG Acetominifen', 'Just Right Canned Yams'})",frozenset({'Faux Products HCL Nasal Spray'}),0.00015851628754854561,0.0029589707009061847,0.00015851628754854561,1.0,337.95535714285717,0.00015804724249807305,inf,0.997199101598626
"frozenset({'Bravo Fancy Canned Anchovies', 'Booker Low Fat String Cheese'})",frozenset({'High Top Oranges'}),0.00015851628754854561,0.0031967451322290033,0.00015851628754854561,1.0,312.8181818181818,0.0001580095513779458,inf,0.9969612894702076
"frozenset({'Quick Extra Lean Hamburger', 'CDR Hot Chocolate'})",frozenset({'Imagine Low Fat French Fries'}),0.0002113550500647275,0.002985390082164276,0.00018493566880663654,0.8749999999999999,293.0940265486725,0.00018430469153635798,7.976116879342679,0.9967988040815248
"frozenset({'Horatio No Salt Popcorn', 'Hilltop 200 MG Acetominifen'})",frozenset({'Cormorant Scented Toilet Tissue'}),0.00018493566880663654,0.003249583894745185,0.00015851628754854561,0.8571428571428572,263.7700348432056,0.00015791532357762765,6.977252912736787,0.9963930874114787
"frozenset({'Horatio No Salt Popcorn', 'Cormorant Scented Toilet Tissue'})",frozenset({'Hilltop 200 MG Acetominifen'}),0.00018493566880663654,0.0035137777073260944,0.00015851628754854561,0.8571428571428572,243.93770139634802,0.00015786646471820342,6.975403556048721,0.9960848042842546
"frozenset({'Booker Low Fat Cottage Cheese', 'Consolidated Mint Mouthwash'})",frozenset({'Great English Muffins'}),0.00018493566880663654,0.004095004095004095,0.00015851628754854561,0.8571428571428572,209.31428571428572,0.00015775897522747013,6.971334971334975,0.9954065814043618
